"171192","99005750-R","17","2021-02-20 15:52:14","Punto de Retiro Registrado, paquete no se Retiro","4"
"171197","102000490","7","2021-02-20 16:02:44","Punto de Entrega Registrado, paquete no se Entrego","3"
"171199","102000484","7","2021-02-20 16:38:56","Punto de Entrega Registrado, paquete no se Entrego","3"
"171200","102000500","7","2021-02-20 17:00:46","Punto de Entrega Registrado, paquete no se Entrego","20"
"171788","97015477","7","2021-02-22 13:29:40","Punto de Entrega Registrado, paquete no se Entrego","3"
"171850","87028559","17","2021-02-22 14:33:20","Punto de Retiro Registrado, paquete no se Retiro","4"
"172252","99005881","7","2021-02-23 08:11:23","Punto de Entrega Registrado, paquete no se Entrego","3"
"172263","99005882","7","2021-02-23 09:10:57","Punto de Entrega Registrado, paquete no se Entrego","3"
"172264","99005882","7","2021-02-23 09:11:33","Punto de Entrega Registrado, paquete no se Entrego","3"
"172327","87028346","17","2021-02-23 09:54:42","Punto de Retiro Registrado, paquete no se Retiro","4"
"172398","87028473","7","2021-02-23 11:45:18","Punto de Entrega Registrado, paquete no se Entrego","3"
"172545","87028357","17","2021-02-23 12:49:14","Punto de Retiro Registrado, paquete no se Retiro","4"
"172819","96002452","7","2021-02-24 08:15:36","Punto de Entrega Registrado, paquete no se Entrego","20"
"172862","96002449","7","2021-02-24 10:10:06","Punto de Entrega Registrado, paquete no se Entrego","20"
"172935","99004767","17","2021-02-24 10:56:29","Punto de Retiro Registrado, paquete no se Retiro","4"
"173036","139000629","7","2021-02-24 12:27:38","Punto de Entrega Registrado, paquete no se Entrego","20"
"173456","99005836","17","2021-02-25 07:13:55","Punto de Retiro Registrado, paquete no se Retiro","4"
"173487","99005978","7","2021-02-25 09:33:15","Punto de Entrega Registrado, paquete no se Entrego","3"
"173490","99005882","7","2021-02-25 09:35:12","Punto de Entrega Registrado, paquete no se Entrego","3"
"173491","99005882-R","17","2021-02-25 09:35:24","Punto de Retiro Registrado, paquete no se Retiro","4"
"173494","97015649","7","2021-02-25 09:43:35","Punto de Entrega Registrado, paquete no se Entrego","3"
"173495","99005847","17","2021-02-25 09:47:27","Punto de Retiro Registrado, paquete no se Retiro","4"
"173603","99005846","17","2021-02-25 11:11:17","Punto de Retiro Registrado, paquete no se Retiro","4"
"173662","114002112","7","2021-02-25 11:50:37","Punto de Entrega Registrado, paquete no se Entrego","3"
"173683","143000182","7","2021-02-25 11:59:50","Punto de Entrega Registrado, paquete no se Entrego","3"
"173708","143000156","7","2021-02-25 12:11:44","Punto de Entrega Registrado, paquete no se Entrego","20"
"173720","87028768","7","2021-02-25 12:17:42","Punto de Entrega Registrado, paquete no se Entrego","20"
"173728","114002115","7","2021-02-25 12:24:57","Punto de Entrega Registrado, paquete no se Entrego","3"
"173895","87028734","17","2021-02-25 13:00:27","Punto de Retiro Registrado, paquete no se Retiro","4"
"174066","99005851","17","2021-02-25 16:37:12","Punto de Retiro Registrado, paquete no se Retiro","4"
"174068","113000466","7","2021-02-25 16:38:36","Punto de Entrega Registrado, paquete no se Entrego","3"
"174263","87028677","7","2021-02-26 09:13:09","Punto de Entrega Registrado, paquete no se Entrego","3"
"174264","87028677-R","17","2021-02-26 09:13:20","Punto de Retiro Registrado, paquete no se Retiro","4"
"174270","87028782","17","2021-02-26 09:37:19","Punto de Retiro Registrado, paquete no se Retiro","4"
"174312","87028801-R","17","2021-02-26 10:44:52","Punto de Retiro Registrado, paquete no se Retiro","4"
"174354","113000429","7","2021-02-26 12:00:45","Punto de Entrega Registrado, paquete no se Entrego","20"
"174524","87028768","7","2021-02-26 13:00:54","Punto de Entrega Registrado, paquete no se Entrego","20"
"174594","97015600","7","2021-02-26 13:32:57","Punto de Entrega Registrado, paquete no se Entrego","3"
"174606","97016348","7","2021-02-26 14:29:19","Punto de Entrega Registrado, paquete no se Entrego","20"
"174623","99006001","7","2021-02-26 14:46:10","Punto de Entrega Registrado, paquete no se Entrego","3"
"174624","99006001-R","17","2021-02-26 14:46:17","Punto de Retiro Registrado, paquete no se Retiro","4"
"174627","113000517","7","2021-02-26 14:55:45","Punto de Entrega Registrado, paquete no se Entrego","3"
"174637","99005991","7","2021-02-26 15:25:43","Punto de Entrega Registrado, paquete no se Entrego","3"
"174642","97015625","7","2021-02-26 15:51:10","Punto de Entrega Registrado, paquete no se Entrego","20"
"174643","97016326","7","2021-02-26 15:58:06","Punto de Entrega Registrado, paquete no se Entrego","20"
"174674","97015590","7","2021-02-26 17:09:02","Punto de Entrega Registrado, paquete no se Entrego","3"
"174671","97015584","7","2021-02-26 17:05:57","Punto de Entrega Registrado, paquete no se Entrego","3"
